,Gene1,Gene2,Count
311,PPCDC,GPX4,7.0
312,SLC22A2,KCNMB4,1.0
313,OAT,NRCAM,4.0
314,UPB1,STAT3,3.0
315,NF1,IRS1,1.0
316,DDOST,BTRC,2.0
317,KCNMB4,DDOST,2.0
318,SLC22A2,ITGA2,4.0
319,PPCDC,IFNGR1,4.0
320,PTK2B,IFNGR1,1.0
321,SLC22A2,EXOC6,4.0
322,SC5DL,GABRB2,2.0
323,NRCAM,CDC16,4.0
324,SLCO2A1,IRS1,4.0
325,PDPK1,NTRK1,1.0
326,SLC22A2,KRAS,4.0
327,SLCO4A1,SLCO2A1,1.0
328,ITGA2,IFNGR1,2.0
329,STAT3,EIF2AK1,1.0
330,NTRK1,BTRC,4.0
331,NF1,ANK1,2.0
332,SLCO2A1,PRKAR2B,2.0
333,SC5DL,OAT,4.0
334,STX1A,DDOST,3.0
335,UPB1,CDC16,3.0
336,STX1A,IL6R,3.0
337,STAT3,PDPK1,2.0
338,GPX4,GAB2,2.0
339,SC5DL,GAB2,5.0
340,SLCO2A1,NF1,2.0
341,SLCO4A1,SLC22A2,6.0
342,OAT,CDC16,6.0
343,GAB2,EIF2AK1,2.0
344,SC5DL,PTK2B,1.0
345,PIK3CD,KRAS,1.0
346,KRAS,EIF2AK1,1.0
347,PRKAR2B,GPX4,2.0
348,PIK3R3,ANK1,1.0
349,KRAS,ITGA2,2.0
350,ITGA2,IRS1,3.0
351,PDPK1,NRCAM,1.0
352,SLCO2A1,NTRK1,3.0
353,OAT,BTRC,1.0
354,DDOST,CDC16,1.0
355,OAT,GABRB2,1.0
356,SLCO4A1,PIK3R3,5.0
357,PDPK1,GPX4,1.0
358,PIK3CD,DDOST,1.0
359,STAT3,ITGA2,2.0
360,PPCDC,DDOST,1.0
361,UPB1,SLCO4A1,1.0
362,STX1A,OAT,2.0
363,EIF2AK1,ANK1,2.0
364,UPB1,GABRB2,3.0
365,ITGA2,CDC16,1.0
366,PPCDC,PDPK1,1.0
367,PIK3R3,GABRB2,1.0
368,OAT,KCNMB4,1.0
369,SOS1,EIF2AK1,1.0
370,ITGA2,DDOST,6.0
371,PIK3R3,IL6R,2.0
372,UPB1,OAT,1.0
373,NTRK1,IL6R,1.0
374,SLCO2A1,ATF2,1.0
375,STX1A,SLCO4A1,1.0
376,SLC22A2,PIK3R3,1.0
377,KRAS,DDOST,1.0
378,NTRK1,DDOST,2.0
379,PDPK1,ANK1,1.0
380,SC5DL,PPCDC,5.0
381,PTK2B,IRS1,1.0
382,NF1,GAB2,1.0
383,KCNMB4,IRS1,1.0
384,PIK3CD,GABRB2,1.0
385,STAT3,NF1,1.0
386,SC5DL,PIK3CD,1.0
387,SOS1,PIK3CD,1.0
388,IRS1,BTRC,1.0
389,GABRB2,CDC16,1.0
390,OAT,ITGA2,1.0
391,IL6R,ATF2,1.0
392,SLC22A2,NF1,1.0
393,IRS1,EIF2AK1,1.0
394,PDPK1,EXOC6,1.0
395,PPCDC,CDC16,1.0
396,PIK3R3,ITGA2,2.0
397,STX1A,SOS1,1.0
398,IFNGR1,BTRC,2.0
399,STX1A,BTRC,2.0
400,PIK3R3,EXOC6,1.0
401,STX1A,PIK3R3,1.0
402,NRCAM,GPX4,1.0
403,IL6R,EXOC6,1.0
404,SLCO2A1,CDC16,1.0
405,PPCDC,NF1,1.0
406,PTK2B,EXOC6,1.0
407,STX1A,PRKAR2B,1.0
408,SLCO4A1,ATF2,1.0
409,IRS1,ATF2,1.0
410,ITGA2,ATF2,1.0
